time,%CPU,%MEM
5,41.5,3.1
16,44.1,3.1
27,44.3,3.1
38,42.2,0.0
49,33.6,0.0
60,27.4,0.0
70,23.5,0.0
80,20.3,0.0
91,18.1,0.0
101,16.3,0.0
111,14.7,0.0
122,14.4,3.5
133,17.0,3.5
144,19.4,3.5
155,21.2,0.0
166,19.8,0.0
177,18.6,0.0
187,17.6,0.0
198,16.7,0.0
208,15.9,0.0
218,15.1,0.0
229,14.4,0.0
240,14.6,4.2
251,16.1,4.2
262,17.3,4.2
273,18.2,0.0
283,17.6,0.0
293,16.9,0.0
303,16.4,0.0
314,15.8,0.0
325,15.3,0.0
335,14.8,0.0
346,15.7,4.2
357,16.7,4.2
368,17.6,4.2
380,18.2,0.0
390,17.7,0.0
400,17.2,0.0
410,16.8,0.0
420,16.4,0.0
431,16.0,0.0
442,15.6,0.0
453,16.2,4.3
464,17.0,4.3
475,17.7,4.3
486,18.1,0.0
496,17.7,0.0
506,17.4,0.0
516,17.0,0.0
527,16.7,0.0
537,16.3,0.0
548,16.0,0.0
559,15.7,0.0
569,15.4,3.7
581,16.0,3.7
592,16.4,3.7
603,17.0,0.0
613,16.7,0.0
624,16.4,0.0
634,16.2,0.0
644,15.9,0.0
655,15.6,0.0
666,15.4,0.0
677,15.1,0.0
687,15.3,3.8
699,15.8,3.8
710,16.5,3.8
721,17.1,0.0
731,16.8,0.0
741,16.6,0.0
751,16.4,0.0
762,16.1,0.0
773,15.9,0.0
783,15.7,0.0
794,15.5,0.0
805,15.3,0.0
816,15.6,3.8
827,16.4,3.8
838,17.4,3.8
849,17.9,0.0
859,17.7,0.0
870,17.4,0.0
881,17.2,0.0
892,17.0,0.0
904,16.8,0.0
